관리번호,발명의 명칭(가제),발명의 명칭(최종),관련사업 분야,관련기술 분야,관련제품,출원국,공동출원여부,공동출원인명,상태,출원일,등록일,출원번호,등록번호,예상 소멸일
P202405001-KR0,상품 트렌드 예측을 반영한 강화학습 자산배분 엔진,상품 트렌드 예측을 반영한 강화학습 모델을 적용한 자산배분 시스템 및 방법,Data,데이터분석,로보어드바이저,KR,N,,등록,2024-08-28,2026-02-25,10-2024-0115774,10-2932891,2044-08-28
P202307002-KR0,블록체인 합의 과정에서의 서명 검증 방식 개선을 통한 성능 향상 방안,블록체인 합의 과정에서의 서명 검증 방법 및 시스템,Blockchain,Blockchain,ChainZ,KR,N,,등록,2023-10-16,2026-02-05,10-2023-0137369,10-2925867,2043-10-16
P202301010-KR0,CMP Pad 물류 시스템,CMP Pad의 물류 관리 시스템,제조,CMP Pad 물류 기술,CMP Pad 물류 시스템,KR,Y,플로소프트,등록,2023-07-11,2025-11-11,10-2023-0089527,10-2886381,2043-07-11
P202301009-KR0,바닥 평탄도 및 이적재위치 문제 해결을 위한 AGV Align 시스템,무인운반차의 얼라인 시스템,제조,AGV Align 기술,AGV Align 시스템,KR,Y,제닉스,등록,2023-07-19,2026-01-14,10-2023-0093778,10-2914590,2043-07-19
P202301007-KR0,"CMP Pad Press Cutting, Aging 장비",CMP Pad의 자동 적재 시스템,제조,"CMP Pad Cutting, Aging 기술","CMP Pad Press Cutting, Aging",KR,Y,한주반도체,등록,2023-07-11,2025-10-31,10-2023-0089519,10-2881532,2043-07-11
P202301006-KR0,CMP Pad 자동 투입/배출 및 건조 오븐 장비,CMP Pad의 자동 건조 시스템,제조,CMP Pad 건조기술,CMP Pad Dry Oven 장비,KR,Y,한주반도체,등록,2023-07-11,2025-03-12,10-2023-0089517,10-2782689,2043-07-11
P202301005-KR0,CMP Pad 레이저 마킹 장비,CMP Pad의 레이저 마킹 시스템,제조,CMP Pad Marking 기술,CMP Pad Laser Marking 장비,KR,Y,한주반도체,등록,2023-07-11,2025-01-08,10-2023-0089515,10-2753842,2043-07-11
P202211002-KR0,특수처리 Rule에 따라 임시 보관 데이터를 캐시 메모리에 저장 및 처리하는 기술,설비 제어 프로그램에서 캐시 메모리 기반의 메시지 처리 방법,제조,솔루션,EAP （생산 설비제어 솔루션）,KR,N,,등록,2023-01-31,2026-01-15,10-2023-0012300,10-2915195,2043-01-31
P202211001-KR0,생산 설비 제어 중 발생하는 예외 상황에도 시나리오 배포를 중단하지 않도록 제어하는 기술,설비 제어 프로그램에서의 시나리오 배포 방법,제조,솔루션,EAP （생산 설비제어 솔루션）,KR,N,,등록,2023-01-31,2026-01-21,10-2023-0012295,10-2917467,2043-01-31
P202210008-KR0,펫 케어 시설에서의  촬영된 사진（이미지）으로 사진의 반려견의  보호자를 매핑하는 사진 분류 기술,이미지 태깅 기반의 반려동물 사진 분류 방법 및 시스템,AI,Vision AI,펫밋,KR,N,,등록,2023-03-23,2025-10-10,10-2023-0037961,10-2871512,2043-03-23
